true_x,true_y,meas_x,meas_y,kalman_x,kalman_y
0.000000000000000000e+00,0.000000000000000000e+00,1.523585398772156763e-01,-5.199920531202477658e-01,1.221286948458990829e-01,-4.168191085907894666e-01
1.000000000000000056e-01,5.000000000000000278e-02,4.752255979032286026e-01,5.202823581956069754e-01,2.857500970767488102e-01,1.347295899497424898e-02
2.000000000000000111e-01,1.000000000000000056e-01,-7.755175943269181360e-01,-5.510897534311590684e-01,-8.482593669218790877e-02,-1.742685321558067324e-01
3.000000000000000444e-01,1.500000000000000222e-01,3.639202015836427440e-01,-8.121296171791081431e-03,3.635509936407828324e-02,-1.236619132277049365e-01
4.000000000000000222e-01,2.000000000000000111e-01,3.915994212478556280e-01,-2.265219637867900149e-01,1.419532970463687760e-01,-1.527127326510894778e-01
5.000000000000000000e-01,2.500000000000000000e-01,9.396989874314143343e-01,6.388959677144741001e-01,4.004674312493746724e-01,9.447567945353618768e-02
5.999999999999999778e-01,2.999999999999999889e-01,6.330153487806080559e-01,8.636206034840163692e-01,5.127577175620575689e-01,3.646598673554901637e-01
6.999999999999999556e-01,3.499999999999999778e-01,9.337546711260227283e-01,-7.964623144161914192e-02,6.882406257604394284e-01,2.878772862160479118e-01
7.999999999999999334e-01,3.999999999999999667e-01,9.843753920412493530e-01,-7.944130041449948276e-02,8.360978159074132776e-01,2.199044572468091541e-01
8.999999999999999112e-01,4.499999999999999556e-01,1.339225150653636121e+00,4.250370445068735181e-01,1.047366107204138919e+00,3.059078812268629100e-01
9.999999999999998890e-01,4.999999999999999445e-01,9.075688182273695670e-01,1.595352277980292555e-01,1.090468757515596021e+00,2.990036529441169044e-01
1.099999999999999867e+00,5.499999999999999334e-01,1.711270669337014994e+00,4.727352589655988702e-01,1.327706790513953239e+00,3.726055003868125048e-01
1.199999999999999956e+00,5.999999999999999778e-01,9.858360889184463183e-01,4.239332247558851852e-01,1.332637381585519032e+00,4.174706394828602840e-01
1.300000000000000044e+00,6.500000000000000222e-01,1.566154592776674459e+00,8.327220321820392179e-01,1.468731667722740664e+00,5.482129092439737006e-01
1.400000000000000133e+00,7.000000000000000666e-01,1.606366305797994443e+00,9.154105015039414317e-01,1.584348335955840126e+00,6.712592185571720771e-01
1.500000000000000222e+00,7.500000000000001110e-01,2.570823800435230844e+00,5.467924918076922935e-01,1.882039086391710914e+00,6.912412898294704178e-01
1.600000000000000311e+00,8.000000000000001554e-01,1.343878635464231586e+00,3.931136358760612959e-01,1.873361373247524053e+00,6.745195239518827490e-01
